epoch 1/30, average loss = 37.0092
epoch 2/30, average loss = 26.1419
epoch 3/30, average loss = 21.7873
epoch 4/30, average loss = 18.5537
epoch 5/30, average loss = 15.8365
epoch 6/30, average loss = 13.7729
epoch 7/30, average loss = 12.4108
epoch 8/30, average loss = 11.3214
epoch 9/30, average loss = 10.2358
epoch 10/30, average loss = 9.5602
epoch 11/30, average loss = 8.8963
epoch 12/30, average loss = 8.3397
epoch 13/30, average loss = 7.8600
epoch 14/30, average loss = 7.3685
epoch 15/30, average loss = 7.0055
epoch 16/30, average loss = 6.6588
epoch 17/30, average loss = 6.4539
epoch 18/30, average loss = 6.1707
epoch 19/30, average loss = 6.0134
epoch 20/30, average loss = 5.7691
epoch 21/30, average loss = 5.5617
epoch 22/30, average loss = 5.3464
epoch 23/30, average loss = 5.2028
epoch 24/30, average loss = 5.1426
epoch 25/30, average loss = 5.0271
epoch 26/30, average loss = 4.9580
epoch 27/30, average loss = 4.7228
epoch 28/30, average loss = 4.7372
epoch 29/30, average loss = 4.6010
epoch 30/30, average loss = 4.5363
Finished Training
